epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4958333373069763,0.0005000000237487257,1.2632962465286255,0.7666666507720947,0.6555414199829102
1,0.7749999761581421,0.0005000000237487257,0.6115413308143616,0.8333333134651184,0.44750767946243286
2,0.8187500238418579,0.0005000000237487257,0.4668653607368469,0.8916666507720947,0.3456113040447235
3,0.862500011920929,0.0005000000237487257,0.3726816475391388,0.9166666865348816,0.2924148738384247
4,0.8854166865348816,0.0005000000237487257,0.3191451132297516,0.9083333611488342,0.2754000127315521
5,0.8947916626930237,0.0005000000237487257,0.2829947769641876,0.925000011920929,0.25532519817352295
6,0.8999999761581421,0.0005000000237487257,0.27853861451148987,0.9333333373069763,0.24088969826698303
7,0.9114583134651184,0.0005000000237487257,0.25218215584754944,0.8958333134651184,0.27326881885528564
8,0.9114583134651184,0.0005000000237487257,0.2324807494878769,0.9041666388511658,0.2479684203863144
9,0.9291666746139526,0.0001500000071246177,0.21147242188453674,0.887499988079071,0.2740655243396759
0,0.8052083253860474,9.999999747378752e-06,0.4861760437488556,0.9208333492279053,0.235580176115036
1,0.859375,9.999999747378752e-06,0.3931259214878082,0.9208333492279053,0.2292632758617401
2,0.8916666507720947,9.999999747378752e-06,0.33595049381256104,0.9291666746139526,0.21995477378368378
3,0.9010416865348816,9.999999747378752e-06,0.31077906489372253,0.9291666746139526,0.21121080219745636
4,0.8958333134651184,9.999999747378752e-06,0.28169873356819153,0.9375,0.20872168242931366
